address,name
대한민국 서울특별시 용산구 동자동 청파로 378,서울역
대한민국 서울특별시 중구 소공동 지하 101,시청
대한민국 서울특별시 종로구 종로 지하 55,종각
대한민국 서울특별시 종로구 종로1.2.3.4가동,종로3가
대한민국 서울특별시 종로구 종로 지하 216,종로5가
대한민국 서울특별시 종로구 종로 302,동대문
대한민국 서울특별시 동대문구 신설동,신설동
대한민국 서울특별시 동대문구 용신동,제기동
대한민국 서울특별시 동대문구 전농1동,청량리
대한민국 서울특별시 종로구 숭인2동,동묘앞
대한민국 서울특별시 중구 소공동 지하 101,시청
대한민국 서울특별시 중구 을지로동 42,을지로입구
대한민국 서울특별시 을지로3가,을지로3가
대한민국 서울특별시 중구 을지로동,을지로4가
대한민국 서울특별시 중구 을지로동 279,동대문역사문화공원
대한민국 서울특별시 중구 황학동,신당
대한민국 서울특별시 성동구 왕십리로 지하 374,상왕십리
대한민국 서울특별시 성동구 왕십리로 지하 300,왕십리
대한민국 서울특별시 성동구 사근동,한양대
대한민국 서울특별시 성동구 성수1가2동,뚝섬
대한민국 서울특별시 성동구 성수동2가,성수
대한민국 서울특별시 광진구 화양동,건대입구
대한민국 서울특별시 광진구 자양2동 216-22,구의
대한민국 서울특별시 광진구 구의3동 강변역로 53,강변
대한민국 서울특별시 송파구 오금로 20,잠실나루
대한민국 서울특별시 송파구 잠실6동,잠실
대한민국 서울특별시 송파구 잠실동,신천
대한민국 서울특별시 송파구 잠실7동,종합운동장
대한민국 서울특별시 강남구,삼성
대한민국 서울특별시 강남구 역삼동,선릉
대한민국 서울특별시 강남구,역삼
대한민국 서울특별시 강남구 역삼1동 강남대로 지하396,강남
대한민국 서울특별시 서초구 서초동,교대
대한민국 서울특별시 서초구 서초3동,서초
대한민국 서울특별시 서초구,방배
대한민국 서울특별시 관악구 남부순환로,사당
대한민국 서울특별시 관악구 봉천동,낙성대
대한민국 서울특별시 관악구 봉천동,서울대입구
대한민국 서울특별시 관악구 봉천동,봉천
대한민국 서울특별시 관악구,신림
대한민국 서울특별시 동작구 대림로 2,신대방
대한민국 서울특별시 구로구 대림2동 도림천로 477,구로디지털단지
대한민국 서울특별시 영등포구,대림
대한민국 서울특별시 구로구 신도림동,신도림
대한민국 서울특별시 영등포구,문래
대한민국 서울특별시 영등포구 당산1동 당산로 123,영등포구청
