id,name,nation,sido,sigungu,sigungu2
340,가락시장,대한민국,서울특별시,송파구,
2818,가락시장,대한민국,서울특별시,송파구,
2748,가산디지털단지,대한민국,서울특별시,금천구,
222,강남,대한민국,서울특별시,강남구,
2732,강남구청,대한민국,서울특별시,강남구,
2549,강동,대한민국,서울특별시,강동구,
2813,강동구청,대한민국,서울특별시,강동구,
214,강변,대한민국,서울특별시,광진구,
2559,개롱,대한민국,서울특별시,송파구,
2512,개화산,대한민국,서울특별시,강서구,
2560,거여,대한민국,서울특별시,송파구,
212,건대입구,대한민국,서울특별시,광진구,
2729,건대입구,대한민국,서울특별시,광진구,
317,경복궁,대한민국,서울특별시,종로구,
341,경찰병원,대한민국,서울특별시,송파구,
2553,고덕,대한민국,서울특별시,강동구,
2641,고려대,대한민국,서울특별시,성북구,
329,고속터미널,대한민국,서울특별시,서초구,
2736,고속터미널,대한민국,서울특별시,서초구,
2530,공덕,대한민국,서울특별시,마포구,
2627,공덕,대한민국,서울특별시,마포구,
2718,공릉,대한민국,서울특별시,노원구,
2547,광나루,대한민국,서울특별시,광진구,
2750,광명사거리,대한민국,경기도,광명시,
2534,광화문,대한민국,서울특별시,종로구,
2625,광흥창,대한민국,서울특별시,마포구,
223,교대,대한민국,서울특별시,서초구,
330,교대,대한민국,서울특별시,서초구,
232,구로디지털단지,대한민국,서울특별시,구로구,
2616,구산,대한민국,서울특별시,은평구,
213,구의,대한민국,서울특별시,광진구,
310,구파발,대한민국,서울특별시,은평구,
2545,군자,대한민국,서울특별시,광진구,
2727,군자,대한민국,서울특별시,광진구,
2760,굴포천,대한민국,인천광역시,부평구,
2551,굽은다리,대한민국,서울특별시,강동구,
324,금호,대한민국,서울특별시,성동구,
2550,길동,대한민국,서울특별시,강동구,
417,길음,대한민국,서울특별시,성북구,
2513,김포공항,대한민국,서울특별시,강서구,
2519,까치산,대한민국,서울특별시,강서구,
2753,까치울,대한민국,경기도,부천시,
227,낙성대,대한민국,서울특별시,관악구,
2747,남구로,대한민국,서울특별시,구로구,
331,남부터미널,대한민국,서울특별시,서초구,
2739,남성,대한민국,서울특별시,동작구,
434,남태령,대한민국,서울특별시,서초구,
2823,남한산성입구,대한민국,경기도,성남시,수정구
2737,내방,대한민국,서울특별시,서초구,
411,노원,대한민국,서울특별시,노원구,
2715,노원,대한민국,서울특별시,노원구,
313,녹번,대한민국,서울특별시,은평구,
2630,녹사평,대한민국,서울특별시,용산구,
2734,논현,대한민국,서울특별시,강남구,
2824,단대오거리,대한민국,경기도,성남시,수정구
2543,답십리,대한민국,서울특별시,동대문구,
409,당고개,대한민국,서울특별시,노원구,
237,당산,대한민국,서울특별시,영등포구,
233,대림,대한민국,서울특별시,영등포구,
2746,대림,대한민국,서울특별시,영등포구,
337,대청,대한민국,서울특별시,강남구,
335,대치,대한민국,서울특별시,강남구,
2626,대흥,대한민국,서울특별시,마포구,
334,도곡,대한민국,서울특별시,강남구,
247,도림천,대한민국,서울특별시,구로구,
2712,도봉산,대한민국,서울특별시,도봉구,
316,독립문,대한민국,서울특별시,서대문구,
2614,독바위,대한민국,서울특별시,은평구,
2644,돌곶이,대한민국,서울특별시,성북구,
155,동대문,대한민국,서울특별시,종로구,
421,동대문,대한민국,서울특별시,종로구,
205,동대문역사문화공원,대한민국,서울특별시,중구,
422,동대문역사문화공원,대한민국,서울특별시,중구,
2537,동대문역사문화공원5,대한민국,서울특별시,중구,
322,동대입구,대한민국,서울특별시,중구,
159,동묘앞,대한민국,서울특별시,종로구,
2637,동묘앞,대한민국,서울특별시,종로구,
431,동작,대한민국,서울특별시,동작구,
2555,둔촌동,대한민국,서울특별시,강동구,
2619,디지털미디어시티,대한민국,서울특별시,은평구,
210,뚝섬,대한민국,서울특별시,성동구,
2730,뚝섬유원지,대한민국,서울특별시,광진구,
2515,마곡,대한민국,서울특별시,강서구,
2714,마들,대한민국,서울특별시,노원구,
2542,마장,대한민국,서울특별시,성동구,
2561,마천,대한민국,서울특별시,송파구,
2529,마포,대한민국,서울특별시,마포구,
2621,마포구청,대한민국,서울특별시,마포구,
2622,망원,대한민국,서울특별시,마포구,
333,매봉,대한민국,서울특별시,강남구,
2720,먹골,대한민국,서울특별시,중랑구,
2723,면목,대한민국,서울특별시,중랑구,
424,명동,대한민국,서울특별시,중구,
2552,명일,대한민국,서울특별시,강동구,
2827,모란,대한민국,경기도,성남시,수정구
2521,목동,대한민국,서울특별시,양천구,
2814,몽촌토성,대한민국,서울특별시,송파구,
315,무악재,대한민국,서울특별시,서대문구,
235,문래,대한민국,서울특별시,영등포구,
