지점명,,자동,수동,지점번호,,지점번호
삼청터널,1,A-04,,A-04,,A-04
자하문터널,2,A-03,,A-03,,A-03
사직터널,3,A-02,,A-02,,A-02
정동MBC앞,4,err,A-14,A-14,,A-14
서소문(삼성건설앞),5,err,A-16,A-16,,A-16
칠패길(연세봉래빌딩앞),6,err,A-19,A-19,,A-19
서울역,7,err,A-13,A-13,,A-13
퇴계로입구,8,err,A-12,A-12,,A-12
남산3호터널,9,A-22,,A-22,,A-22
소파길(동보성앞),10,err,A-24,A-24,,A-24
장충체육관,11,A-10,,A-10,,A-10
성동여상,12,err,A-09,A-09,,A-09
시청역,13,err,A-17,A-17,,A-17
동대문(국민은행앞),15,err,A-08,A-08,,A-08
혜화전화국,16,err,A-07,A-07,,A-07
창경궁앞(성대입구),17,err,A-06,A-06,,A-06
남산2호터널,18,A-21,,A-21,,A-21
금호터널,19,D-03,,D-03,,D-03
금화터널,20,A-01,,A-01,,A-01
구기터널,21,D-01,,D-01,,D-01
북악터널,22,D-02,,D-02,,D-02
매봉터널,23,D-38,,D-38,,D-38
난곡터널,24,D-32,,D-32,,D-32
남산1호터널,26,A-20,,A-20,,A-20
천호대교,27,C-20,,C-20,,C-20
올림픽대교,28,C-19,,C-19,,C-19
청담대교,29,C-17,,C-17,,C-17
잠실대교북단,30,err,C-18,C-18,,C-18
청담교,31,err,,err,,err
성수대교,33,C-15,,C-15,,C-15
동호대교,34,C-14,,C-14,,C-14
한남대교,35,C-13,,C-13,,C-13
반포대교,36,C-11,,C-11,,C-11
한강대교,39,C-09,,C-09,,C-09
원효대교,40,C-08,,C-08,,C-08
양화대교,42,C-05,,C-05,,C-05
오류I.C,44,err,D-22,D-22,,D-22
시흥I.C,45,err,D-24,D-24,,D-24
종로3가,46,A-15,,A-15,,A-15
낙성대역,47,D-33,,D-33,,D-33
예술의전당,48,D-34,,D-34,,D-34
수서I.C,49,err,D-39,D-39,,D-39
을지로3가,50,A-18,,A-18,,A-18
서오능입구,52,err,B-34,B-34,,B-34
국방대입구,53,err,B-35,B-35,,B-35
난지도시계,54,err,B-36,B-36,,B-36
오쇠리시계,57,err,B-26,B-26,,B-26
공수교차로(남부순환로),58,err,,err,,err
유한공고,60,B-29,,B-29,,B-29
개봉교,62,B-21,,B-21,,B-21
광명대교,63,B-22,,B-22,,B-22
철산대교(서부간선),64,err,,,,
시흥대로시계,67,err,B-18,B-18,,B-18
남태령고개,68,err,B-15,B-15,,B-15
서하남I.C,73,err,B-08,B-08,,B-08
상일I.C,74,err,B-09,B-09,,B-09
광장동시계,76,err,B-03,B-03,,B-03
망우리고개,77,err,B-04,B-04,,B-04
삼육대입구,79,err,B-06,B-06,,B-06
동일로시계,80,err,B-02,B-02,,B-02
도봉로시계,81,err,B-01,B-01,,B-01
중랑교(강변북로방면),83,err,F-05,F-05,,F-05
군자교동단,84,err,D-05,D-05,,D-05
포스코사거리,87,err,D-42,D-42,,D-42
종합운동장(올림픽로),88,err,D-44,D-44,,D-44
오목교,89,D-25,,D-25,,D-25
미미예식장,93,err,,,,
연희I.C(성산로),94,err,D-16,D-16,,D-16
구로종근당,95,err,,err,,err
여의2교(파천교),96,err,D-27,D-27,,D-27
여의교,98,D-29,,D-29,,D-29
고속터미널,99,D-36,,D-36,,D-36
총신대입구,100,D-31,,D-31,,D-31
증산로,102,D-14,,D-14,,D-14
화곡터널,104,D-20,,D-20,,D-20
가양대교,106,C-03,,C-03,,C-03
안국역,107,A-05,,A-05,,A-05
노원역,108,D-13,,D-13,,D-13
신내I.C,109,err,B-07,B-07,,B-07
우면산,110,B-17,,B-17,,B-17
강일I.C,112,err,B-10,B-10,,B-10
소월길(힐튼호텔),008-1  ,err,A-23,A-23,,A-23
장충단길(신라호텔),011-1  ,err,A-11,A-11,,A-11
성산대교북단(강변북로),043-1  ,err,C-04,C-04,,C-04
신월I.C(경인고속도로),059-1  ,err,B-28,B-28,,B-28
천왕교차로(지역도로),061-1  ,err,B-19,B-19,,B-19
철산대교(디지털로),064-1  ,err,B-23,B-23,,B-23
종합운동장(백제고분로),088-1  ,err,D-48,D-48,,D-48
연희I.C(연희로),094-1  ,err,D-17,D-17,,D-17
세곡교차로(밤고개길),070-1  ,err,D-41,D-41,,D-41
서울교남단,97,err,D-28,D-28,,D-28
상월파출소,85,err,D-08,D-08,,D-08
공수교차로(화곡로),058-1  ,err,B-27,B-27,,B-27
