name,국가,시도,시군구
서울역,대한민국,서울특별시,용산구
시청,대한민국,서울특별시,중구
종각,대한민국,서울특별시,종로구
종로3가,대한민국,서울특별시,종로구
종로5가,대한민국,서울특별시,종로구
동대문,대한민국,서울특별시,종로구
신설동,대한민국,서울특별시,동대문구
제기동,대한민국,서울특별시,동대문구
청량리,대한민국,서울특별시,동대문구
동묘앞,대한민국,서울특별시,종로구
을지로입구,대한민국,서울특별시,중구
을지로3가,대한민국,서울특별시,을지로3가
을지로4가,대한민국,서울특별시,중구
동대문역사문화공원,대한민국,서울특별시,중구
신당,대한민국,서울특별시,중구
상왕십리,대한민국,서울특별시,성동구
왕십리,대한민국,서울특별시,성동구
한양대,대한민국,서울특별시,성동구
뚝섬,대한민국,서울특별시,성동구
성수,대한민국,서울특별시,성동구
건대입구,대한민국,서울특별시,광진구
구의,대한민국,서울특별시,광진구
강변,대한민국,서울특별시,광진구
잠실나루,대한민국,서울특별시,송파구
잠실,대한민국,서울특별시,송파구
신천,대한민국,서울특별시,송파구
종합운동장,대한민국,서울특별시,송파구
삼성,대한민국,서울특별시,강남구
선릉,대한민국,서울특별시,강남구
역삼,대한민국,서울특별시,강남구
강남,대한민국,서울특별시,강남구
교대,대한민국,서울특별시,서초구
서초,대한민국,서울특별시,서초구
방배,대한민국,서울특별시,서초구
사당,대한민국,서울특별시,관악구
낙성대,대한민국,서울특별시,관악구
서울대입구,대한민국,서울특별시,관악구
봉천,대한민국,서울특별시,관악구
신림,대한민국,서울특별시,관악구
신대방,대한민국,서울특별시,동작구
구로디지털단지,대한민국,서울특별시,구로구
대림,대한민국,서울특별시,영등포구
신도림,대한민국,서울특별시,구로구
문래,대한민국,서울특별시,영등포구
영등포구청,대한민국,서울특별시,영등포구
당산,대한민국,서울특별시,영등포구
합정,대한민국,서울특별시,마포구
홍대입구,대한민국,서울특별시,마포구
신촌,대한민국,서울특별시,서대문구
이대,대한민국,서울특별시,마포구
아현,대한민국,서울특별시,마포구
충정로,대한민국,서울특별시,서대문구
용답,대한민국,서울특별시,성동구
신답,대한민국,서울특별시,성동구
도림천,대한민국,서울특별시,구로구
양천구청,대한민국,서울특별시,양천구
신정네거리,대한민국,서울특별시,양천구
용두,대한민국,서울특별시,동대문구
구파발,대한민국,서울특별시,은평구
연신내,대한민국,서울특별시,은평구
불광,대한민국,서울특별시,은평구
녹번,대한민국,서울특별시,은평구
홍제,대한민국,서울특별시,서대문구
